bid_no,project_no,country_ko,project_name,category,evidence_records
L2025-00063-1,2021-00016,가나,가나대학교 연구 및 ICT 혁신센터 건립 사업('21-'26/999만불),공사비,7
L2025-00063-1,2021-00016,가나,가나대학교 연구 및 ICT 혁신센터 건립 사업('21-'26/999만불),기간,2
L2025-00063-1,2021-00016,가나,가나대학교 연구 및 ICT 혁신센터 건립 사업('21-'26/999만불),부가세·예비비,9
L2025-00063-1,2021-00016,가나,가나대학교 연구 및 ICT 혁신센터 건립 사업('21-'26/999만불),총사업비·예산,2
L2025-00066-1,2024-00107,파키스탄,"파키스탄 펀잡주 기후변화 적응을 위한 물탄시 홍수방재 마스터플랜 수립 및 우수저류시설 설치사업('24-'27/1,000만불)",공사비,7
L2025-00066-1,2024-00107,파키스탄,"파키스탄 펀잡주 기후변화 적응을 위한 물탄시 홍수방재 마스터플랜 수립 및 우수저류시설 설치사업('24-'27/1,000만불)",기간,2
L2025-00066-1,2024-00107,파키스탄,"파키스탄 펀잡주 기후변화 적응을 위한 물탄시 홍수방재 마스터플랜 수립 및 우수저류시설 설치사업('24-'27/1,000만불)",부가세·예비비,9
L2025-00066-1,2024-00107,파키스탄,"파키스탄 펀잡주 기후변화 적응을 위한 물탄시 홍수방재 마스터플랜 수립 및 우수저류시설 설치사업('24-'27/1,000만불)",총사업비·예산,2
L2025-00070-1,2020-00119,이라크,"이라크 한-이라크 심장병 어린이 전문 병원 건립사업('20-'30/2,793만불)",부가세·예비비,32
L2025-00071-1,2020-00119,이라크,"이라크 한-이라크 심장병 어린이 전문 병원 건립사업('20-'30/2,793만불)",부가세·예비비,32
L2025-00085-1,2020-00119,이라크,"이라크 한-이라크 심장병 어린이 전문 병원 건립사업('20-'30/2,793만불)",부가세·예비비,32
