rate_type,item_code,description,specification,unit,material_rate_usd,labor_rate_usd,expense_rate_usd,total_rate_usd,source_price_candidates,source_pages,source_note,material_formula,labor_formula,expense_formula,total_formula,source_sheet,source_row,source_file,source_sha256
직접자원단가,43AE2142BE750E32422B8C4B8098C4ED224E9,경량철골천장틀,"경량철골천장틀, 몰딩(알루미늄), W형, 15*15*15*15*1.0mm",M,2.020291787010294,0.0,0.0,2.020291787010294,2.020291787010294 | 2.020291787010294,677 | 420,,"=SMALL(E79:M79,COUNTIF(E79:M79,0)+1)",=AQ79/$AD$3*$AE$3*$AD$4,,=O79+P79+V79,단가대비표,79,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE750E32422B8C4B8098C3F6EA6FF,[현지기준단가]Thick 6.0 Gypsum Tex 1Ply  on M-Bar System,,M2,2.0,0.0,0.0,2.0,2,,※$$$$$$$$$,"=SMALL(E80:M80,COUNTIF(E80:M80,0)+1)",,,=O80+P80+V80,단가대비표,80,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE750E32422B8C4B8098C3F6EA786,[현지기준단가]Thick 15.0 suspended Acoustic Ceiling Tile on T-Bar System,,M2,8.0,0.0,0.0,8.0,8,,※$$$$$$$$$,"=SMALL(E81:M81,COUNTIF(E81:M81,0)+1)",,,=O81+P81+V81,단가대비표,81,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE750E32422B8C4B8098C3F6EA026,Thick 9.5 suspended Gypsum Board 2Ply with Vinyl Paint on M-Bar System,,M2,16.0,0.0,0.0,16.0,16,,※$$$$$$$$$,"=SMALL(E82:M82,COUNTIF(E82:M82,0)+1)",,,=O82+P82+V82,단가대비표,82,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE750E32422B8C4B8098C3F6EA025,Thick 9.5 suspended Gypsum Board 2Ply with Anti-bacterial Paint on M-Bar System,,M2,13.0,0.0,0.0,13.0,13,,※$$$$$$$$$,"=SMALL(E83:M83,COUNTIF(E83:M83,0)+1)",,,=O83+P83+V83,단가대비표,83,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE750E32422B8C4B8098C3F6EA204,[현지기준단가]Suspended PVC Ceiling on M-Bar System,,M2,2.0,0.0,0.0,2.0,2,,※$$$$$$$$$,"=SMALL(E84:M84,COUNTIF(E84:M84,0)+1)",,,=O84+P84+V84,단가대비표,84,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE750E336294316086666BE173056,인조대리석,"인조대리석, 15∼17mm, 글로톤, White/Red",M2,28.512182477967865,0.0,0.0,28.512182477967865,28.512182477967865,562,,"=SMALL(E85:M85,COUNTIF(E85:M85,0)+1)",=AQ85/$AD$3*$AE$3*$AD$4,,=O85+P85+V85,단가대비표,85,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE746972722185E78DB4FEB1E2477,"철재일반도아(일반분체), 문틀 포함","150*45*1.6T, 0.9*2.1, 편개",M2,109.56824409390508,0.0,0.0,109.56824409390508,109.56824409390508,,,"=SMALL(E86:M86,COUNTIF(E86:M86,0)+1)",=AQ86/$AD$3*$AE$3*$AD$4,,=O86+P86+V86,단가대비표,86,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE746972722185E78DB4FEB1E2A80,"철재일반도아(일반분체), 문틀 포함","150*45*1.6T, 1.8*2.1, 양개",M2,103.37702732726062,0.0,0.0,103.37702732726062,103.37702732726062,,,"=SMALL(E87:M87,COUNTIF(E87:M87,0)+1)",=AQ87/$AD$3*$AE$3*$AD$4,,=O87+P87+V87,단가대비표,87,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE746972722185E78DB4FEB1D127B,"철재후라쉬도아(일반분체), 문틀 포함","240*45*1.6T, 0.9*2.1, 편개",M2,169.93260756868847,0.0,0.0,169.93260756868847,169.93260756868847,,,"=SMALL(E88:M88,COUNTIF(E88:M88,0)+1)",=AQ88/$AD$3*$AE$3*$AD$4,,=O88+P88+V88,단가대비표,88,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE746972722185E78DB4FEB1A45CC,"철재후라쉬도아(일반분체), 문틀 포함","240*45*1.6T, 1.8*2.1, 양개",M2,163.3340739095016,0.0,0.0,163.3340739095016,163.3340739095016,,,"=SMALL(E89:M89,COUNTIF(E89:M89,0)+1)",=AQ89/$AD$3*$AE$3*$AD$4,,=O89+P89+V89,단가대비표,89,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE746972723205724FD0610FF9548,도어클로저,"도어클로저, K-2840, KS4호, 고급방화, 60∼85kg",조,81.46337850847961,0.0,0.0,81.46337850847961,81.46337850847961 | 82.2780122935644,658,,"=SMALL(E90:M90,COUNTIF(E90:M90,0)+1)",=AQ90/$AD$3*$AE$3*$AD$4,,=O90+P90+V90,단가대비표,90,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
