source_record_id,source_row_number,public_data_id,source_page_url,project_no_source,project_no_linked,project_link_method,project_link_score,existing_db_project_match,existing_db_project_bid_nos,bid_no_source,bid_base_no_source,department,country_ko,is_uganda,procurement_title,sector,procurement_category,scope,ceiling_krw,amount_boundary,contract_method,selection_method,planned_issue_date,construction_related,construction_reason,construction_keywords,area_values_m2,gross_floor_area_m2,gfa_extraction_method,raw_ceiling_per_gfa_krw,unit_cost_potential
15085055:356,356,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2023-00005,official_report_title_containment,0.990,0,,,,아프리카2팀,모로코,0,모로코 마라케시 친환경 전기버스 교통체계 구축사업 ITS 기자재 공급 용역,환경및기타,물품,"1 기자재 · 서버 및 스토리지, 네트워크, 상황실 구축, 상용 S/W, 통신공사 및 현장장비 등2) 직접경비 · 전문가 파견 경비3) 직접인건비 · 국내외 인건비4) 기타 제경비 등",2714786282,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-07,0,,공사,,,,,0
15085055:357,357,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2022-00142,official_report_title_containment,0.990,1,L2024-00015-1;L2024-00015-2;L2025-00032-1;L2025-00032-2,,,카메룬사무소,카메룬,0,카메룬 전자정부 인식개선 및 역량강화 사업('22·'26/823만불),기타,용역,"1) 계획안(3개 대안제시), 기본설계, 실시설계 도서 작성   ※ 현지 설계사를 선정, 기본계획부터 실시설계에 이르기까지 협업하여 프로젝트 수행계획 수립2) 현지조사 (on·site investigation)3) 지적도, 지질조사보고서, 현황측량도 및 지적 경계측량도4) 건축협의(해당국가 관련기관 협의 포함)5) PMC사 및 기자재 업체와의 협의6) 각종 인허가 지원 업무 등",609574350,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술평가),2025-06,1,시설어+설계감리어,시설;기본설계;설계;실시설계,,,,,0
15085055:358,358,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2021-00092,official_report_title_containment,0.990,0,,,,라오스사무소,라오스,0,"라오스 농촌개발 실행전략 수립 및 중북부지역 농가소득증대 시범사업('21·'25/1,250만불)",농촌개발,물품,"트랙터, 이양기 등 농업기자재 및 소모품 구매",300000000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-06,0,,,,,,,0
15085055:359,359,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.449,0,,,,파라과이사무소,파라과이,0,"파라과이 공중보건 위기대응을 위한 진단 및 감시 역량강화 사업(24·29/1,450만불) 실험동 건축 설계",보건의료,공사,"ㅇ 지반조사 및 경계측량  ㅇ 실험동 건설하는데 필요한 건축, 구조, 기계, 전기, 소방, 토목, 조경 등을 포함한 일체 설계 용역 (Signage Design 계획 포함)  ㅇ 공사 완공시점까지 KOICA 요청에 의한 각종 설계 자문 제공 의무",402480000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-06,0,,공사;설계,,,,,0
15085055:360,360,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.419,0,,,,유라시아팀,타지키스탄,0,타지키스탄 정부 기능 디지털 전환 이행 지원 사업(2024·2028/650만불) PMC 선정,행정제도,용역,"사업 요구사항 분석 및 도출, 기본설계, BPR/ISP 컨설팅, 시스템 구축관리, 감독 및 이슈관리, 사업 및 성과관리 등",5717572169,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-12,0,,기본설계;설계,,,,,0
15085055:361,361,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.787,0,,,,아프리카1팀,에티오피아,0,에티오피아 양질의 일자리 창출을 위한ICT 기반의 창업 및 SMEs 육성 지원 사업 PC 용역 (IT플랫폼 구축 감리용역),기타,용역,"표제사업 IT플랫폼 구축을 위한 감리용역 선발 · 감리 사업수행계획서 작성, 단계별 감리계획서 작성, 감리 착수회의 개최, 현장감리 실시, 감리 수행결과보고서 작성, 감리 종료회의 개최, 감리수행결과보고서 작성, 감리결과 시정조치 확인 등",156917654,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-07,0,,감리,,,,,0
15085055:362,362,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2020-00053,official_report_title_containment,0.990,1,L2022-00035-1;L2022-00035-2;L2022-00068-1;L2023-00004-1,,,아프리카1팀,에티오피아,0,에티오피아 양질의 일자리 창출을 위한 ICT 기반의 창업 및 중소기업(SMEs) 육성 지원 사업 IT 플랫폼 구축 PC 용역,기타,용역,"표제사업 IT플랫폼 구축을 위한 H/W 및 S/W 통합발주  · 온라인 IT플랫폼 개발 · IT플랫폼 운영/유지관리 조직구성 및 협업, IT 플랫폼 개발자 교육, IT플랫폼 운영지원 및 유지관리, 정보화 전략 계획 수립 등",1078142182,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-07,0,,,,,,,0
15085055:363,363,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2021-00085,existing_db_title_containment,0.990,1,L2023-00065-1,,,유라시아팀,우즈베키스탄,0,우즈베키스탄 교수학습개발복합센터 건립을 통한 유아교사 역량강화사업 전시 계획 및 설치용역,교육,용역,유아체험관 전시 설계 및 설치,940000000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술평가),2025-08,1,강한건축어;시설어+설계감리어,건립;센터;설계,,,,,0
15085055:364,364,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2021-00097,official_report_title_containment,0.990,1,L2023-00030-1;L2024-00036-1;L2025-00015-1;L2025-00015-2,,,피지사무소,피지,0,피지 농업공존형 태양광 발전사업(GCF)(21·24/800만불) 영농기술센터 및 농기자재 보관창고 시공,농촌개발,공사,영농기술센터 및 농기자재 보관창고 시공,2710764854,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-02,1,입찰구분=공사+시설어;시설어+공사어,시공;센터,,,,,0
15085055:365,365,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2021-00141,existing_db_title_containment,0.990,1,L2022-00006-1,,,서남아시아팀,네팔,0,네팔 경찰청 사이버 안전국 설립을 통한 사이버 수사능력 강화사업('21·'26/800만불) 기자재 공급업체 선정,행정제도,물품,"· 사이버 수사, 디지털 포렌식 관련 기자재 구입 및 검수",1404728505,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-08,0,,,,,,,0
