audit_no,dataset_id,project_no,bid_no,bid_base_no,package_id,notice_date,country_ko,stored_country_ko,title,stored_contract_type,scope_role,facility_type,work_type,notice_ceiling_usd,notice_ceiling_krw_raw,notice_ceiling_usd_raw,selected_area_m2,area_semantics,area_aggregation,area_confidence,area_source_file,area_source_locator,area_quote,area_candidates,selected_construction_cost_usd,amount_stage,amount_scope,tax_basis,contingency_note,amount_source_file,amount_source_locator,amount_quote,amount_confidence,record_cost_semantics,record_scope_status,same_scope_status,screening_unit_usd_m2,notice_ceiling_to_selected_gap_pct,realized_price_available,final_grade,compact_grade,verification_level,grade_detail,manual_note,legacy_reviewed_case,legacy_evidence_grade,legacy_cost_stage,legacy_grade_not_inherited,strict_attachment_review,unit_cost_allowed_use,direct_future_estimate_ready,sample_weight_notice,source_url,grade_system_version,audit_date,indexed_attachment_count,spreadsheet_count,boq_named_file_count,quantity_table_file_count,priced_table_file_count,scan_error_file_count,is_bid_base_representative,is_project_display_representative
45,2021-2025,2019-00064,L2021-00015-1,L2021-00015,2019-00064::L2021-00015,2021-05-10,캄보디아,캄보디아,캄보디아 산학연계 비즈니스 인큐베이팅 체계 구축사업 시공업체 선정,공사,WORKS,기타·미분류,미분류,2746477.0,,"$ 2,746,477",2299.26,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2021-00015-1/1-2 (REV.2_영문본) 입찰공고(인큐베이팅 센터_영문)_최종버젼.docx,문단 18,"총연면적 2,299.26㎡; 상세페이지 집행한도 USD 2,746,477; 산출단가 USD 1,195/㎡.",2299.26:GFA,2746477.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,,L2021-00015-1/1-2 (REV.2_영문본) 입찰공고(인큐베이팅 센터_영문)_최종버젼.docx,문단 18,"총연면적 2,299.26㎡; 상세페이지 집행한도 USD 2,746,477; 산출단가 USD 1,195/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,1194.5047537033654,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,A,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00015&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,1,0,0,0,0,0,1,1
46,2021-2025,2019-00066,L2021-00016-1,L2021-00016,2019-00066::L2021-00016,2021-05-11,캄보디아,캄보디아,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정,공사,WORKS,기타·미분류,신축,1074976.0,,"$ 1,074,976",1325.32,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2021-00016-1/캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 입찰 공고문.pdf,페이지 1,"GFA 약 1,325.32㎡, 추정예산 약 USD 1,022,588.",1325.32:AMBIGUOUS_AREA,1022588.0,ADVERTISED_ESTIMATED_BUDGET,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,,L2021-00016-1/캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 입찰 공고문.pdf,페이지 1,"GFA 약 1,325.32㎡, 추정예산 약 USD 1,022,588.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,771.5781848911961,5.123079871854541,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,A,입찰공고 추정예산,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00016&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,1,0,0,0,0,0,1,1
47,2021-2025,2012-00016,L2021-00017-1,L2021-00017,2012-00016::L2021-00017,2021-05-17,파키스탄,파키스탄,건조농대 농축산 역량강화센터 및 수자원 연수센터 사후관리를 위한 시공업체 선정입찰,공사,WORKS,농업시설,미분류,731618.0,,"$ 731,618",,AMBIGUOUS_AREA,UNKNOWN,LOW,L2021-00017-1/붙임1. 건조농대 및 수자원센터 사후지원공사 입찰계획서_0505.hwp,문단 72,"7,688㎡ (82,753 sq.ft)",7688:AMBIGUOUS_AREA;6070:AMBIGUOUS_AREA;3555.03:AMBIGUOUS_AREA;2707.47:AMBIGUOUS_AREA,731618.0,NOTICE_EXECUTION_CEILING,PROCUREMENT_CEILING_ASSUMED_WORKS,UNKNOWN,,KOICA 입찰 상세페이지,집행한도금액(달러),,METADATA_PLUS_SCOPE_REVIEW,WORKS_CEILING,PARTIAL_SCOPE,PARTIAL_SCOPE,,,NO,U,U,V3_SCOPE_REVIEW,면적과 금액 범위가 부분·혼합되어 계산 금지,두 센터 전체 GFA와 부분 개선공사 범위가 다름,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00017&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,22,2,0,1,0,0,1,1
48,2021-2025,2020-00094,L2021-00014-1,L2021-00014,2020-00094::L2021-00014,2021-05-20,필리핀,필리핀,필리핀 농기계현대화센터 구축 및 역량강화 사업 건축 설계용역,용역,DESIGN_OR_SUPERVISION_SERVICE,농업시설,미분류,92400.0,,"$ 92,400",2000.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2021-00014-1/붙임1. 210209_기술+가격_PhilMech_설계업체 선정 입찰계획(안)_본부의견반영_Rev.02.doc,문단 13,"ies Development Center in Nueva Ecija, Philippines 위 치 CLSU Compound, Science City of Munoz, Nueva Ecija, Philippines 대지면적 약 2,000 m2 연면적 약 2,000㎡ 건축종별 신축 건축규모 사무연구 동 및 Workshop, 2층 기간 및 예산 설계 5개월 95,200 USD 주요구조 철근콘",2000:GFA;2000:GFA;2000:SITE_AREA;2000:QUALIFICATION,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00014&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,23,0,0,0,0,0,1,0
49,2021-2025,2019-00066,L2021-00016-2,L2021-00016,2019-00066::L2021-00016,2021-06-18,캄보디아,캄보디아,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 현지입찰(재입찰),공사,WORKS,기타·미분류,신축,1074976.0,,"$ 1,074,976",1325.32,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2021-00016-2/2. Bid announcemet_(Maternal & Child Health).docx,문단 12,"- Gross Floor Area: approx. 1,325.32 m2",1325.32:GFA;1325.32:BUILDING_OR_CONSTRUCTION_AREA;1325.32:AMBIGUOUS_AREA;66209.3:SITE_AREA,1074976.0,NOTICE_EXECUTION_CEILING,PROCUREMENT_CEILING_ASSUMED_WORKS,UNKNOWN,,KOICA 입찰 상세페이지,집행한도금액(달러),,METADATA_PLUS_SCOPE_REVIEW,WORKS_CEILING,MATCH,MATCH,811.1067515769777,,NO,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,,0,,,,0,초기 스크리닝만,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00016&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01,2,0,0,0,0,0,0,0
50,2021-2025,2019-00066,L2021-00025-1,L2021-00025,2019-00066::L2021-00025,2021-08-27,캄보디아,캄보디아,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 현지입찰(3차 신규),공사,WORKS,기타·미분류,신축,1074976.0,,"$ 1,074,976",1325.32,GFA,TOTAL_MULTI_FACILITY,MANUAL_CONTEXT_REVIEW,L2021-00025-1,페이지 7 / 문단 12,"Gross Floor Area approx. 1,325.32㎡; site area 66,209.28㎡ 제외",1325.32:GFA;1325.32:GFA;1325.32:GFA;1325.32:GFA;1325.32:BUILDING_OR_CONSTRUCTION_AREA;1325.32:BUILDING_OR_CONSTRUCTION_AREA;1325.32:BUILDING_OR_CONSTRUCTION_AREA;66209.3:SITE_AREA;66209.3:SITE_AREA;66209.3:SITE_AREA,1074976.0,NOTICE_EXECUTION_CEILING,PROCUREMENT_CEILING_ASSUMED_WORKS,UNKNOWN,,KOICA 입찰 상세페이지,집행한도금액(달러),,METADATA_PLUS_SCOPE_REVIEW,WORKS_CEILING,MATCH,MATCH,811.1067515769777,,NO,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,,0,,,,0,초기 스크리닝만,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00025&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,6,0,0,0,0,0,1,0
51,2021-2025,2020-00114,L2021-00029-1,L2021-00029,2020-00114::L2021-00029,2021-10-11,네팔,네팔,네팔 보건 및 소득증대를 통한 통합적 농촌지역 역량강화사업 시공업체 선정 현지 입찰,공사,WORKS,기타·미분류,신축,953460.0,,"$ 953,460",1120.3,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2021-00029-1/네팔 ORC시공업체선정 영문 RFP.pdf,페이지 3,"2개소 총 GFA 1,120.30㎡, 공사예산 USD 929,600.",1120.3:GFA;1120.3:AMBIGUOUS_AREA;833.2:AMBIGUOUS_AREA;287.1:AMBIGUOUS_AREA;948.45:SITE_AREA;566.9:SITE_AREA;381.55:SITE_AREA,929600.0,CONSTRUCTION_BUDGET,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,,L2021-00029-1/네팔 ORC시공업체선정 영문 RFP.pdf,페이지 3,"2개소 총 GFA 1,120.30㎡, 공사예산 USD 929,600.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,829.7777381058645,2.5666953528399317,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,A,입찰 Construction Budget,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00029&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,3,0,0,0,0,0,1,1
52,2021-2025,2019-00032,L2021-00030-1,L2021-00030,2019-00032::L2021-00030,2021-10-20,파라과이,파라과이,파라과이 항공 전문인력 역량강화사업 격납고 현지 시공사 선정 국제경쟁 입찰,공사,WORKS,기타·미분류,미분류,892000.0,,"$ 892,000",945.0,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2021-00030-1/0 Bidding Guideline for Construction Contractor_Hangar.docx,문단 92,"총연면적 945.00㎡; 상세페이지 집행한도 USD 892,000; 산출단가 USD 944/㎡.",945:GFA;945:GFA;945:GFA;945:GFA;4494.92:SITE_AREA;4494.92:SITE_AREA;4494.92:SITE_AREA;4494.92:SITE_AREA;1000:QUALIFICATION,892000.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,동일 사업의 별도 공사 패키지,L2021-00030-1/0 Bidding Guideline for Construction Contractor_Hangar.docx,문단 92,"총연면적 945.00㎡; 상세페이지 집행한도 USD 892,000; 산출단가 USD 944/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,943.9153439153439,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,B,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00030&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,7,0,0,0,0,0,1,0
53,2021-2025,2019-00045,L2021-00031-1,L2021-00031,2019-00045::L2021-00031,2021-10-22,파키스탄,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업 시험소 신축공사 시공업체 선정 입찰,공사,WORKS,실험실·연구시설,신축,1839007.0,,"$ 1,839,007",2349.2,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2021-00031-1/2. Chapters/Chapter 1. Invitation for Pre-Qualification_1020.docx,표 2 행 7,"총연면적 2,349.20㎡; 상세페이지 집행한도 USD 1,839,007; 산출단가 USD 783/㎡.",1000:GFA;4094.98:AMBIGUOUS_AREA;2349.2:AMBIGUOUS_AREA;900:AMBIGUOUS_AREA;250:AMBIGUOUS_AREA;185:AMBIGUOUS_AREA;40:AMBIGUOUS_AREA;15.5:WORK_ITEM_AREA;11:WORK_ITEM_AREA;10:WORK_ITEM_AREA;5:WORK_ITEM_AREA;4.65:WORK_ITEM_AREA,1839007.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,,L2021-00031-1/2. Chapters/Chapter 1. Invitation for Pre-Qualification_1020.docx,표 2 행 7,"총연면적 2,349.20㎡; 상세페이지 집행한도 USD 1,839,007; 산출단가 USD 783/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,782.8226630342244,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,A,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00031&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,43,8,0,6,0,0,1,1
54,2021-2025,2019-00015,L2021-00036-1,L2021-00036,2019-00015::L2021-00036,2021-11-01,키르기즈,키르기즈,키르기즈공화국 유기농업 정책이행지원 및 역량강화사업 유기농 로컬푸드마켓 현지 설계 및 감리업체 선정,용역,DESIGN_OR_SUPERVISION_SERVICE,농업시설,미분류,20000.0,,"$ 20,000",487.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2021-00036-1/[붙임] 입찰 서류_11.1.docx,문단 152,Gross Floor Area : 487 ㎡,487:GFA;900:SITE_AREA,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00036&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,1,0,0,0,0,0,1,0
55,2021-2025,2019-00066,L2021-00037-1,L2021-00037,2019-00066::L2021-00037,2021-11-04,캄보디아,캄보디아,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 현지입찰(4차 신규),공사,WORKS,기타·미분류,신축,1074976.0,,"$ 1,074,976",1325.32,GFA,TOTAL_MULTI_FACILITY,MANUAL_CONTEXT_REVIEW,L2021-00037-1,표 17·33 행 5,"Gross Floor Area approx. 1,325.32㎡; site area 66,209.28㎡ 제외",1325.32:GFA;1325.32:GFA;1325.32:GFA;1325.32:GFA;1325.32:BUILDING_OR_CONSTRUCTION_AREA;1325.32:BUILDING_OR_CONSTRUCTION_AREA;1325.32:BUILDING_OR_CONSTRUCTION_AREA;66209.3:SITE_AREA;66209.3:SITE_AREA;66209.3:SITE_AREA,1074976.0,NOTICE_EXECUTION_CEILING,PROCUREMENT_CEILING_ASSUMED_WORKS,UNKNOWN,,KOICA 입찰 상세페이지,집행한도금액(달러),,METADATA_PLUS_SCOPE_REVIEW,WORKS_CEILING,MATCH,MATCH,811.1067515769777,,NO,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,,0,,,,0,초기 스크리닝만,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00037&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,8,0,0,0,0,0,1,0
56,2021-2025,2019-00032,L2021-00042-1,L2021-00042,2019-00032::L2021-00042,2021-11-17,파라과이,파라과이,파라과이 항공 전문인력 역량강화사업 격납고 현지 감리사 선정 국제경쟁 입찰,용역,DESIGN_OR_SUPERVISION_SERVICE,기타·미분류,미분류,71000.0,,"$ 71,000",945.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2021-00042-1/0.0 입찰공고문(영문).docx,표 2 행 4,"Scope of Supervision S ervice | New Building Site area: 4,494.92 ㎡ Gross floor area: Hangar 945 ㎡ + Apron and Access Road Office: 2 stories – Reinforced Concrete Struc",945:GFA;945:GFA;900:AMBIGUOUS_AREA;800:AMBIGUOUS_AREA;800:AMBIGUOUS_AREA;700:AMBIGUOUS_AREA;700:AMBIGUOUS_AREA;600:AMBIGUOUS_AREA;600:AMBIGUOUS_AREA;4494.92:SITE_AREA;4494.92:SITE_AREA;900:QUALIFICATION,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00042&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,6,0,0,0,0,0,1,0
57,2021-2025,2019-00032,L2021-00045-1,L2021-00045,2019-00032::L2021-00045,2021-12-28,파라과이,파라과이,파라과이 항공 전문인력 역량강화사업 항공훈련센터 현지 시공사 선정 국제경쟁 입찰,공사,WORKS,학교·교육시설,미분류,2415000.0,,"$ 2,415,000",2866.41,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2021-00045-1/0 Bidding Guideline for Construction_ATC.docx,문단 92,"총연면적 2,866.41㎡; 상세페이지 집행한도 USD 2,415,000; 산출단가 USD 843/㎡.",2866.41:GFA;2866.41:GFA;2866.41:GFA;2866.41:GFA;2702:SITE_AREA;2702:SITE_AREA;2702:SITE_AREA;2702:SITE_AREA;1000:QUALIFICATION,2415000.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,,L2021-00045-1/0 Bidding Guideline for Construction_ATC.docx,문단 92,"총연면적 2,866.41㎡; 상세페이지 집행한도 USD 2,415,000; 산출단가 USD 843/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,842.5172951531707,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,A,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00045&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,7,0,0,0,0,0,1,1
58,2021-2025,2019-00011,L2022-00001-1,L2022-00001,2019-00011::L2022-00001,2022-01-14,모잠비크,모잠비크,모잠비크 직업훈련교육 역량강화사업 시공업체 선정 국제 경쟁입찰,공사,WORKS,산업·직업훈련시설,미분류,2200000.0,,"$ 2,200,000",,AMBIGUOUS_AREA,UNKNOWN,LOW,L2022-00001-1/모잠비크 직훈사업 시공업체 선정 입찰계획.hwp,문단 63,"1. Workshop zone : 9 buildings, 약 7,030㎡",7030:AMBIGUOUS_AREA;5480:AMBIGUOUS_AREA;1300:AMBIGUOUS_AREA;350:AMBIGUOUS_AREA;120:AMBIGUOUS_AREA;95:AMBIGUOUS_AREA;70:AMBIGUOUS_AREA;16:WORK_ITEM_AREA,2200000.0,NOTICE_EXECUTION_CEILING,PROCUREMENT_CEILING_ASSUMED_WORKS,UNKNOWN,,KOICA 입찰 상세페이지,집행한도금액(달러),,METADATA_PLUS_SCOPE_REVIEW,WORKS_CEILING,PARTIAL_SCOPE,PARTIAL_SCOPE,,,NO,U,U,V3_SCOPE_REVIEW,면적과 금액 범위가 부분·혼합되어 계산 금지,캠퍼스 전체 면적과 일부 칸막이·슬로프·실습실 공사 범위가 다름,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00001&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,10,0,1,0,0,0,1,1
59,2021-2025,2019-00032,L2022-00002-1,L2022-00002,2019-00032::L2022-00002,2022-01-20,파라과이,파라과이,파라과이 항공 전문인력 역량강화사업 항공훈련센터 현지 감리사 선정 국제경쟁 입찰,용역,DESIGN_OR_SUPERVISION_SERVICE,학교·교육시설,미분류,205000.0,,"$ 205,000",2866.41,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2022-00002-1/1.0 Section I. Invitation for Bids.docx,표 2 행 4,"Scope of Supervision S ervice | New Building Site area: 2,702 ㎡ Gross floor area: 2,866.41 ㎡ 3 stories – Reinforced Concrete Structure , Pile Construction Main Fa",2866.41:GFA;2800:GFA;2866.41:GFA;2702:SITE_AREA;2702:SITE_AREA;2800:QUALIFICATION;2800:QUALIFICATION;2800:QUALIFICATION;2800:QUALIFICATION;2800:QUALIFICATION;2800:QUALIFICATION,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00002&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,5,0,0,0,0,0,1,0
60,2021-2025,2020-00086,L2022-00003-1,L2022-00003,2020-00086::L2022-00003,2022-02-21,우즈베키스탄,우즈베키스탄,우즈베키스탄 우르겐치 직업훈련원 및 직업훈련제도 역량공고화 지원사업 설계 및 감리업체 선정,용역,DESIGN_OR_SUPERVISION_SERVICE,학교·교육시설,신축,248335.0,,"$ 248,335",7021.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2022-00003-1/KOICA URGENCH BID DOCUMENTS-FINAL(FINAL)/Attachment 1. KOICA_BID Announcement.docx,표 2 행 5,"horezm region : Total Floor Area 5,741 M2. 2 Story Building - For construction of Teachers’ Training Center in at Tashkent : 1,280 M2 Total 7,021M2, 2 Story Building 3) Construction Supervision - Construction of Vocat",7021:GFA;7021:GFA;7021:GFA;5741:GFA;1280:GFA;1280:GFA;5741:GFA;1280:GFA;18000:AMBIGUOUS_AREA;730:AMBIGUOUS_AREA;3000:QUALIFICATION;3000:QUALIFICATION,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00003&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,23,0,0,0,0,0,1,0
61,2021-2025,2021-00141,L2022-00006-1,L2022-00006,2021-00141::L2022-00006,2022-04-04,네팔,네팔,네팔 경찰 역량강화를 위한 사이버안전국 설립사업 설계 및 감리업체 선정 현지입찰,용역,DESIGN_OR_SUPERVISION_SERVICE,정부·행정시설,미분류,154872.0,,"$ 154,872",4563.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2022-00006-1/붙임 2. 입찰공고.docx,표 2 행 2,"Summary of Services | Design and Construction Supervision Consultant Services 1 ) Bardibas Municipality, Province 2 2 ) Total floor area: 4,563m2 3) Construction Supervision: 2 4 Months",4563:GFA;2500:GFA;1500:GFA;1500:GFA;470:GFA;635:GFA;455:GFA;1500:QUALIFICATION,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00006&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,3,0,0,0,0,0,1,1
62,2021-2025,2016-20098,L2022-00007-1,L2022-00007,2016-20098::L2022-00007,2022-04-05,인도네시아,인도네시아,인도네시아 경찰청 사이버범죄수사 교육센터 프로젝트 리모델링업체 선정 입찰,공사,WORKS,학교·교육시설,리모델링·개보수,275400.0,,"$ 275,400",,AMBIGUOUS_AREA,UNKNOWN,LOW,L2022-00007-1/(붙임1) 220331인도네시아 경찰청사이버범죄수사 교육센타 시공사 선정 입찰계획(안).hwp,문단 64," 연 면 적: 1,458㎡",1458:AMBIGUOUS_AREA;852:AMBIGUOUS_AREA;606:AMBIGUOUS_AREA,275400.0,NOTICE_EXECUTION_CEILING,PROCUREMENT_CEILING_ASSUMED_WORKS,UNKNOWN,,KOICA 입찰 상세페이지,집행한도금액(달러),,METADATA_PLUS_SCOPE_REVIEW,WORKS_CEILING,MATCH,MATCH,,,NO,U,U,V2R_HUMAN_REVIEWED_EXTRACTION,유효 면적과 공사금액 결합요건 미충족,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00007&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,3,0,0,0,0,0,0,0
